Ref_base,Ref_roll
MXG_78134929,STELLA_7312863536
MXG_78150431,STELLA_7312764913
MXG_78163923,STELLA_7312812437
MXG_78187569,STELLA_7312794330
MXG_78235827,STELLA_7312728661
MXG_78260805,STELLA_7312728597
MXG_78289731,STELLA_7312749235
MXG_78364698,STELLA_7312761568
MXG_78387909,STELLA_7312788751
MXG_78389746,STELLA_7312782934
MXG_78412566,STELLA_7312779378
MXG_78461048,STELLA_7312794200
MXG_78462467,STELLA_7312773597
MXG_78490190,STELLA_7312755938
MXG_78493776,STELLA_7312740415
MXG_78493784,STELLA_7312743196
MXG_78493810,STELLA_7312812222
MXG_78500910,STELLA_7312731325
MXG_78500911,STELLA_7312731326
MXG_78500912,STELLA_7312731327
MXG_78523160,STELLA_7312785075
MXG_78525540,STELLA_7312740822
MXG_78525772,STELLA_7312794350
MXG_78527130,STELLA_7312806694
MXG_78577245,STELLA_7312770415
MXG_78603767,STELLA_7312779396
MXG_78675965,STELLA_7312749680
MXG_78728783,STELLA_7312803745
MXG_78732530,STELLA_7312785557
MXG_78732533,STELLA_7312785527
MXG_78735508,STELLA_7312812864
MXG_78761552,STELLA_7312758898
MXG_78761554,STELLA_7312758984
MXG_78761595,STELLA_7312758372
MXG_78761603,STELLA_7312734479
MXG_78761605,STELLA_7312734424
MXG_78761658,STELLA_7312728973
MXG_78761678,STELLA_7312740218
MXG_78769826,STELLA_7312782826
MXG_78770765,STELLA_7312815351
MXG_78770766,STELLA_7312815521
MXG_78770774,STELLA_7312815065
MXG_78770775,STELLA_7312818750
MXG_78770845,STELLA_7312794002
MXG_78770846,STELLA_7312788992
MXG_78770850,STELLA_7312788970
MXG_78770853,STELLA_7312788925
MXG_78840742,STELLA_7312788975
MXG_78850318,STELLA_7312749976
MXG_78850372,STELLA_7312753011
MXG_78858383,STELLA_7312815999
MXG_78918012,STELLA_7312815997
MXG_79031899,STELLA_7312773506
MXG_79038449,STELLA_7312779155
MXG_79040352,STELLA_7312773766
MXG_79040361,STELLA_7312773554
MXG_79064208,STELLA_7312803415
MXG_79064398,STELLA_7312788611
MXG_79097753,STELLA_7312761438
MXG_79098002,STELLA_7312794881
MXG_79105638,STELLA_7312809839
MXG_79140990,STELLA_7312788617
MXG_79157320,STELLA_7312731311
MXG_79157321,STELLA_7312731312
MXG_79157322,STELLA_7312731313
MXG_79158011,STELLA_7312749401
MXG_79161955,STELLA_7312776081
MXG_79165859,STELLA_7312782377
MXG_79198761,STELLA_7312782554
MXG_79201113,STELLA_7312752698
MXG_79219679,STELLA_7312743160
MXG_79222772,STELLA_7312815531
MXG_79222877,STELLA_7312752278
MXG_79253712,STELLA_7312779529
MXG_79280047,STELLA_7312779852
MXG_79284078,STELLA_7312788976
MXG_79301411,STELLA_7312785624
MXG_79301431,STELLA_7312785408
MXG_79302015,STELLA_7312815364
MXG_79302536,STELLA_7312743453
